"","x"
"1381","KDM2B"
"1382","KDM5A"
"1383","KDM5B"
"1384","KDM6A"
"1385","KDM6B"
"1386","KDM7A"
"1387","KDR"
"1388","KEL"
"1389","KERA"
"1390","KIF14"
"1391","KIF18A"
"1392","KIF1A"
"1393","KIF26B"
"1394","KIF27"
"1395","KIRREL3"
"1396","KIT"
"1397","KITLG"
"1398","KLF1"
"1399","KLF10"
"1400","KLF13"
"1401","KLF15"
"1402","KLF2"
"1403","KLF4"
"1404","KLF5"
"1405","KLF6"
"1406","KLHL1"
"1407","KLHL10"
"1408","KLHL12"
"1409","KLHL17"
"1410","KLHL3"
"1411","KLHL40"
"1412","KLHL41"
